cik_str,ticker,title,processed
1858681,APO,"Apollo Global Management, Inc.",False
1650372,TEAM,Atlassian Corp,False
1035002,VLO,VALERO ENERGY CORP/TX,False
1413447,NXPI,NXP Semiconductors N.V.,False
820313,APH,AMPHENOL CORP /DE/,False
31462,ECL,ECOLAB INC.,False
76334,PH,PARKER HANNIFIN CORP,False
30554,CTA-PA,"EIDP, Inc.",False
1571996,DELL,Dell Technologies Inc.,False
1397187,LULU,lululemon athletica inc.,False
1099219,MET,METLIFE INC,False
37996,F,FORD MOTOR CO,False
713676,PNC,"PNC FINANCIAL SERVICES GROUP, INC.",False
4447,HES,HESS CORP,False
16918,STZ,"CONSTELLATION BRANDS, INC.",False
68505,MSI,"Motorola Solutions, Inc.",False
1260221,TDG,TransDigm Group INC,False
1262039,FTNT,"Fortinet, Inc.",False
1393311,PSA,Public Storage,False
1060391,RSG,"REPUBLIC SERVICES, INC.",False
1418135,KDP,Keurig Dr Pepper Inc.,False
1222333,GLD,SPDR GOLD TRUST,False
866787,AZO,AUTOZONE INC,False
702165,NSC,NORFOLK SOUTHERN CORP,False
1835632,MRVL,"Marvell Technology, Inc.",False
1032208,SRE,SEMPRA,False
1466258,TT,Trane Technologies plc,False
1467858,GM,General Motors Co,False
4977,AFL,AFLAC INC,False
769397,ADSK,"Autodesk, Inc.",False
75362,PCAR,PACCAR INC,False
878927,ODFL,"OLD DOMINION FREIGHT LINE, INC.",False
5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",False
766704,WELL,WELLTOWER INC.,False
1276187,ET,Energy Transfer LP,False
47111,HSY,HERSHEY CO,False
1063761,SPG,SIMON PROPERTY GROUP INC /DE/,False
7084,ADM,Archer-Daniels-Midland Co,False
1408198,MSCI,MSCI Inc.,False
827054,MCHP,MICROCHIP TECHNOLOGY INC,False
900075,CPRT,COPART INC,False
55785,KMB,KIMBERLY CLARK CORP,False
723531,PAYX,PAYCHEX INC,False
107263,WMB,"WILLIAMS COMPANIES, INC.",False
1637459,KHC,Kraft Heinz Co,False
4904,AEP,AMERICAN ELECTRIC POWER CO INC,False
1109357,EXC,EXELON CORP,False
1097864,ON,ON SEMICONDUCTOR CORP,False
715957,D,"DOMINION ENERGY, INC",False
1585689,HLT,Hilton Worldwide Holdings Inc.,False
1535527,CRWD,"CrowdStrike Holdings, Inc.",False
1297996,DLR,"DIGITAL REALTY TRUST, INC.",False
1682852,MRNA,"Moderna, Inc.",False
1385157,TEL,TE Connectivity Ltd.,False
745732,ROST,"ROSS STORES, INC.",False
73309,NUE,NUCOR CORP,False
882184,DHI,HORTON D R INC /DE/,False
1671933,TTD,"Trade Desk, Inc.",False
86312,TRV,"TRAVELERS COMPANIES, INC.",False
927628,COF,CAPITAL ONE FINANCIAL CORP,False
833444,JCI,Johnson Controls International plc,False
874716,IDXX,IDEXX LABORATORIES INC /DE,False
726728,O,REALTY INCOME CORP,False
40704,GIS,GENERAL MILLS INC,False
1478242,IQV,IQVIA HOLDINGS INC.,False
875045,BIIB,BIOGEN INC.,False
1506307,KMI,"KINDER MORGAN, INC.",False
45012,HAL,HALLIBURTON CO,False
1381197,IBKR,"Interactive Brokers Group, Inc.",False
1751788,DOW,DOW INC.,False
1755672,CTVA,"Corteva, Inc.",False
1300514,LVS,LAS VEGAS SANDS CORP,False
1071739,CNC,CENTENE CORP,False
1140859,COR,"Cencora, Inc.",False
1701605,BKR,Baker Hughes Co,False
1093557,DXCM,DEXCOM INC,False
1137774,PRU,PRUDENTIAL FINANCIAL INC,False
1442145,VRSK,"Verisk Analytics, Inc.",False
96021,SYY,SYSCO CORP,False
1041061,YUM,YUM BRANDS INC,False
820027,AMP,AMERIPRISE FINANCIAL INC,False
1868275,CEG,Constellation Energy Corp,False
1037868,AME,AMETEK INC/,False
1136893,FIS,"Fidelity National Information Services, Inc.",False
277135,GWW,"W.W. GRAINGER, INC.",False
1390777,BK,Bank of New York Mellon Corp,False
49938,IMO,IMPERIAL OIL LTD,False
1393052,VEEV,VEEVA SYSTEMS INC,False
1781335,OTIS,Otis Worldwide Corp,False
56873,KR,KROGER CO,False
202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/",False
1057352,CSGP,"COSTAR GROUP, INC.",False
1024478,ROK,"ROCKWELL AUTOMATION, INC",False
26172,CMI,CUMMINS INC,False
72903,XEL,XCEL ENERGY INC,False
1910139,MBLY,Mobileye Global Inc.,False
712515,EA,ELECTRONIC ARTS INC.,False
1090872,A,"AGILENT TECHNOLOGIES, INC.",False
1321655,PLTR,Palantir Technologies Inc.,False
1164727,NEM,NEWMONT Corp /DE/,False
1176948,ARES,Ares Management Corp,False
1489393,LYB,LyondellBasell Industries N.V.,False
1834584,CPNG,"Coupang, Inc.",False
1047862,ED,CONSOLIDATED EDISON INC,False
1832433,FERG,Ferguson plc,False
1618756,QSR,Restaurant Brands International Inc.,False
1067701,URI,"UNITED RENTALS, INC.",False
1705696,VICI,VICI PROPERTIES INC.,False
815556,FAST,FASTENAL CO,False
1090012,DVN,DEVON ENERGY CORP/DE,False
1792789,DASH,"DoorDash, Inc.",False
79879,PPG,PPG INDUSTRIES INC,False
14693,BF-B,BROWN FORMAN CORP,False
947484,ACGL,ARCH CAPITAL GROUP LTD.,False
788784,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC,False
1039684,OKE,ONEOK INC /NEW/,False
899051,ALL,ALLSTATE CORP,False
1932393,GEHC,GE HealthCare Technologies Inc.,False
1512673,SQ,"Block, Inc.",False
1521332,APTV,Aptiv PLC,False
1437107,WBD,"Warner Bros. Discovery, Inc.",False
1050915,PWR,"QUANTA SERVICES, INC.",False
749251,IT,GARTNER INC,False
1396009,VMC,Vulcan Materials CO,False
1402057,CDW,CDW Corp,False
1539838,FANG,"Diamondback Energy, Inc.",False
783325,WEC,"WEC ENERGY GROUP, INC.",False
1013462,ANSS,ANSYS INC,False
24741,GLW,CORNING INC /NY,False
47217,HPQ,HP INC,False
1410636,AWK,"American Water Works Company, Inc.",False
827052,EIX,EDISON INTERNATIONAL,False
1659166,FTV,Fortive Corp,False
916076,MLM,MARTIN MARIETTA MATERIALS INC,False
915912,AVB,AVALONBAY COMMUNITIES INC,False
1404655,HUBS,HUBSPOT INC,False
1441816,MDB,"MongoDB, Inc.",False
29534,DG,DOLLAR GENERAL CORP,False
27904,DAL,"DELTA AIR LINES, INC.",False
1136869,ZBH,"ZIMMER BIOMET HOLDINGS, INC.",False
884887,RCL,ROYAL CARIBBEAN CRUISES LTD,False
1120193,NDAQ,"NASDAQ, INC.",False
1037646,MTD,METTLER TOLEDO INTERNATIONAL INC/,False
1113169,TROW,PRICE T ROWE GROUP INC,False
935703,DLTR,"DOLLAR TREE, INC.",False
1138118,CBRE,"CBRE GROUP, INC.",False
946581,TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,False
33185,EFX,EQUIFAX INC,False
1097149,ALGN,ALIGN TECHNOLOGY INC,False
906107,EQR,EQUITY RESIDENTIAL,False
1601046,KEYS,"Keysight Technologies, Inc.",False
106535,WY,WEYERHAEUSER CO,False
1065088,EBAY,EBAY INC,False
313927,CHD,CHURCH & DWIGHT CO INC /DE/,False
1034054,SBAC,SBA COMMUNICATIONS CORP,False
1673358,YUMC,"Yum China Holdings, Inc.",False
1713683,ZS,"Zscaler, Inc.",False
1524472,XYL,Xylem Inc.,False
874766,HIG,"HARTFORD FINANCIAL SERVICES GROUP, INC.",False
916365,TSCO,TRACTOR SUPPLY CO /DE/,False
1140536,WTW,WILLIS TOWERS WATSON PLC,False
814547,FICO,FAIR ISAAC CORP,False
720005,RJF,RAYMOND JAMES FINANCIAL INC,False
