cik,ticker,title,year,mda_section,processed_timestamp
16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,2017,"Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations, and",2023-12-30 20:19:35.775360
16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,2018,"Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations, and",2023-12-30 20:19:26.409380
16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,2019,"Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations, and",2023-12-30 20:19:24.387709
16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,2020,,2023-12-30 20:19:26.760739
16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,2021,,2023-12-30 20:19:14.222194
16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,2022,,2023-12-30 20:19:11.892812
16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,2023,,2023-12-30 20:19:15.556995
16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,2016,"Item 7. Management’s Discussion and Analysis of Financial Condition and Results of Operations, and",2023-12-30 20:19:35.903135
